가	g a
영원	y eo NG w eo N
영원히	y eo NG w eo N h i
영위	y eo NG w i
영입	y eo NG i P
영장	y eo NG j a NG
영재	y eo NG j e
영정	y eo NG j eo NG
영종	y eo NG j o NG
영종대교	y eo NG j o NG d e g y o
영주	y eo NG j u
영창	y eo NG ch a NG
영천시	y eo NG ch eo N s i
영토	y eo NG t o
영하	y eo NG h a
영향	y eo NG h y a NG
영향력	y eo NG h y a NG n y eo K
영호남	y eo NG h o n a M
영혼	y eo NG h o N
영화	y eo NG h w a
영화계	y eo NG h w a g y e
영화관	y eo NG h w a g w a N
영화배우	y eo NG h w a b e u
영화사	y eo NG h w a s a
영화제	y eo NG h w a j e
영훈	y eo NG h u N
영희	y eo NG h eu i
옆	y eo P
옆구리	y eo P kk u r i
옆방	y eo P pp a NG
옆집	y eo P jj i P
예	y e
예감	y e g a M
예견	y e g y eo N
예결	y e g y eo L
예고	y e g o
예금	y e g eu M
예금보험공사	y e g eu M b o h eo M g o NG s a
예기	y e g i
예년	y e n y eo N
예능	y e n eu NG
예대	y e d e
예루살렘	y e r u s a L r e M
예리	y e r i
예매	y e m e
예민	y e m i N
예방	y e b a NG
예배당	y e b e d a NG
예보	y e b o
예비	y e b i
예비군	y e b i g u N
예비비	y e b i b i
예비역	y e b i y eo K
예뻐	y e pp eo
예뻐보여	y e pp eo b o y eo
예뻐서	y e pp eo s eo
예뻐요	y e pp eo y o
예쁘	y e pp eu
예쁜	y e pp eu N
예산	y e s a N
예산안	y e s a n a N
예상	y e s a NG
예선	y e s eo N
예수	y e s u
예순	y e s u N
예술	y e s u L
예술가	y e s u L g a
예술단	y e s u L tt a N
예술인	y e s u r i N
예스	y e s eu
예습	y e s eu P
예시	y e s i
예식장	y e s i K jj a NG
예약	y e y a K
예언	y e eo N
예언자	y e eo N j a
예외	y e w e
예요	y e y o
예의	y e eu i
예전	y e j eo N
예절	y e j eo L
예정	y e j eo NG
예정이율	y e j eo NG i y u L
예정자	y e j eo NG j a
예정지	y e j eo NG j i
예진	y e j i N
예체능	y e ch e n eu NG
예측	y e ch eu K
예치	y e ch i
예컨대	y e k eo N d e
예하	y e h a
옐친	y e L ch i N
옛	y e T
옛날	y e N n a L
옛적	y e T jj eo K
오	o
오가	o g a
오개	o g e
오공	o g o NG
오구	o g u
오글거리	o g eu L g eo r i
오너	o n eo
오년	o n y eo N
오늘	o n eu L
오늘날	o n eu L r a L
오다	o d a
오대양	o d e y a NG
오두	o d u
오디션	o d i s y eo N
오디오	o d i o
오뚝	o tt u K
오락	o r a K
오락가락	o r a K kk a r a K
오래	o r e
오래간만	o r e g a N m a N
오랜	o r e N
오랜만	o r e N m a N
오랫동안	o r e T tt o NG a N
오랫만	o r e N m a N
오량	o r y a NG
오렌지	o r e N j i
오로지	o r o j i
오류	o r y u
오르	o r eu
오르간	o r eu g a N
오르내리	o r eu n e r i
오른	o r eu N
오른다	o r eu N d a
오른손	o r eu N s o N
오른쪽	o r eu N jj o K
오른편	o r eu N p y eo N
오를	o r eu L
오름세	o r eu M s e
오릅니다	o r eu M n i d a
오리	o r i
오리발	o r i b a L
오리엔트	o r i e N t eu
오리온	o r i o N
오리지널	o r i j i n eo L
오릭스	o r i K ss eu
오마이	o m a i
오만	o m a N
오명	o m y eo NG
오모	o m o
오바	o b a
오바마	o b a m a
오버	o b eo
오봉	o b o NG
오븐	o b eu N
오비	o b i
오빠	o pp a
오사카	o s a k a
오색	o s e K
오성홍기	o s eo NG h o NG g i
오세	o s e
오션	o s y eo N
오소리	o s o r i
오송읍	o s o NG eu P
오스터	o s eu t eo
오스트레일리아	o s eu t eu r e i L r i a
오스트리아	o s eu t eu r i a
오싹	o ss a K
오아시스	o a s i s eu
오악	o a K
오악사카	o a K ss a k a
오악사카주	o a K ss a k a j u
오염	o y eo M
오염도	o y eo M d o
오예	o y e
오오	o o
오우	o u
오월	o w eo L
오이	o i
오이씨	o i ss i
오이카와	o i k a w a
오인	o i N
오일	o i L
오자	o j a
오전	o j eo N
오존	o j o N
오죽	o j u K
오준영	o j u N n y eo NG
오줌	o j u M
오직	o j i K
오징어	o j i NG eo
오차	o ch a
오찬	o ch a N
오케스트라	o k e s eu t eu r a
오케이	o k e i
오쿠노	o k u n o
오크	o k eu
오클랜드	o k eu L r e N d eu
오키	o k i
오타	o t a
오토	o t o
오토바이	o t o b a i
오판	o p a N
오페라	o p e r a
오프	o p eu
오픈	o p eu N
오피스텔	o p i s eu t e L
오해	o h e
오향	o h y a NG
오호	o h o
오홍준	o h o NG j u N
오회	o h w e
오후	o h u
오히려	o h i r y eo
옥	o K
옥도	o K tt o
옥바라지	o K pp a r a j i
옥상	o K ss a NG
옥수수	o K ss u s u
옥시	o K ss i
옥시나	o K ss i n a
옥천	o K ch eo N
옥천군	o K ch eo N g u N
온	o N
온갖	o N g a T
온건	o N g eo N
온건파	o N g eo N p a
온기	o N g i
온난	o N n a N
온난화	o N n a N h w a
온다	o N d a
온다고	o N d a g o
온다는	o N d a n eu N
온다면	o N d a m y eo N
온대	o N d e
온도	o N d o
온도계	o N d o g y e
온돌	o N d o L
온두라스	o N d u r a s eu
온라인	o L r a i N
온몸	o N m o M
온수동	o N s u d o NG
온실	o N s i L
온실가스	o N s i L g a s eu
온전	o N j eo N
온전히	o N j eo N h i
온종일	o N j o NG i L
온통	o N t o NG
올	o L
올게	o L g e
올게요	o L g e y o
올까요	o L kk a y o
올라	o L r a
올라가	o L r a g a
올라간다	o L r a g a N d a
올라갈	o L r a g a L
올라감	o L r a g a M
올라갔	o L r a g a T
올라서	o L r a s eo
올라섰	o L r a s eo T
올라오	o L r a o
올라온	o L r a o N
올라온다	o L r a o N d a
올라와	o L r a w a
올라왔	o L r a w a T
올라타	o L r a t a
올랐	o L r a T
올래	o L r e
올레	o L r e
올려	o L r y eo
올려져	o L r y eo j y eo
올렸	o L r y eo T
올리	o L r i
올리고당	o L r i g o d a NG
올리브유	o L r i b eu y u
올린	o L r i N
올린다	o L r i N d a
올린다는	o L r i N d a n eu N
올린다면서	o L r i N d a m y eo N s eo
올릴	o L r i L
올림픽	o L r i M p i K
올립니다	o L r i M n i d a
올바로	o L b a r o
올바르	o L b a r eu
올바른	o L b a r eu N
올보르	o L b o r eu
올브라이트	o L b eu r a i t eu
올빼미	o L pp e m i
올스타	o L s eu t a
올시다	o L s i d a
올해	o L h e
옮	o M
옮겨	o M g y eo
옮겨서	o M g y eo s eo
옮겨야	o M g y eo y a
옮겨와	o M g y eo w a
옮겨져	o M g y eo j y eo
옮겨졌	o M g y eo j y eo T
옮겼	o M g y eo T
옮기	o M g i
옮긴	o M g i N
옮길	o M g i L
옮길까요	o M g i L kk a y o
옮아가	o L m a g a
옳	o L
옴	o M
옴마	o M m a
옴짝달싹	o M jj a K tt a L ss a K
옵	o P
옵니다	o M n i d a
옷	o T
옷장	o T jj a NG
옷차림	o T ch a r i M
옹	o NG
옹진군	o NG j i N g u N
옹호	o NG h o
와	w a
와도	w a d o
와라	w a r a
와서	w a s eo
와야	w a y a
와요	w a y o
와이	w a i
와이드먼	w a i d eu m eo N
와이셔츠	w a i s y eo ch eu
와인	w a i N
와중	w a j u NG
와타나베	w a t a n a b e
와해	w a h e
완	w a N
완강	w a N g a NG
완공	w a N g o NG
완도	w a N d o
완료	w a L r y o
완만	w a N m a N
완벽	w a N b y eo K
완성	w a N s eo NG
완승	w a N s eu NG
완장	w a N j a NG
완전	w a N j eo N
완전히	w a N j eo N h i
완치	w a N ch i
완쾌	w a N k w e
완화	w a N h w a
왈	w a L
왈라스	w a L r a s eu
왓	w a T
왓슨	w a T ss eu N
왔	w a T
왔어요	w a ss eo y o
왔었	w a ss eo T
왔으나	w a ss eu n a
왔으며	w a ss eu m y eo
왕	w a NG
왕관	w a NG g w a N
왕국	w a NG g u K
왕권	w a NG g w eo N
왕뚜껑	w a NG tt u kk eo NG
왕립	w a NG n i P
왕복	w a NG b o K
왕비	w a NG b i
왕성	w a NG s eo NG
왕세자	w a NG s e j a
왕실	w a NG s i L
왕왕	w a NG w a NG
왕융	w a NG n y u NG
왕자	w a NG j a
왕정	w a NG j eo NG
왕조	w a NG j o
왕좌	w a NG j w a
왕창	w a NG ch a NG
왜	w e
왜곡	w e g o K
왜냐	w e n y a
왜냐면	w e n y a m y eo N
왜냐면은	w e n y a m y eo n eu N
왜냐하면	w e n y a h a m y eo N
왜냐하면은	w e n y a h a m y eo n eu N
왜소	w e s o
왠	w e N
왠지	w e N j i
왤케	w e L k e
외	w e
외계인	w e g y e i N
외고	w e g o
외과	w e g w a
외곽	w e g w a K
외관	w e g w a N
외교	w e g y o
외교관	w e g y o g w a N
외교부	w e g y o b u
외교사	w e g y o s a
외국	w e g u K
외국산	w e g u K ss a N
외국어	w e g u g eo
외국인	w e g u g i N
외도	w e d o
외래	w e r e
외로울	w e r o u L
외로움	w e r o u M
외로워	w e r o w eo
외롭	w e r o P
외르	w e r eu
외면	w e m y eo N
외모	w e m o
외무	w e m u
외무부	w e m u b u
외무성	w e m u s eo NG
외부	w e b u
외산	w e s a N
외상	w e s a NG
외세	w e s e
외식	w e s i K
외신	w e s i N
외아들	w e a d eu L
외압	w e a P
외양	w e y a NG
외양간	w e y a NG g a N
외우	w e u
외워서	w e w eo s eo
외웠	w e w eo T
외인	w e i N
외자	w e j a
외제	w e j e
외주	w e j u
외증조부	w e j eu NG j o b u
외채	w e ch e
외쳐	w e ch y eo
외쳤	w e ch y eo T
외출	w e ch u L
외치	w e ch i
외침	w e ch i M
외투	w e t u
외할머니	w e h a L m eo n i
외형	w e h y eo NG
외화	w e h w a
외환	w e h w a N
외환보유고	w e h w a N b o y u g o
왼	w e N
왼발	w e N b a L
왼손	w e N s o N
왼손잡이	w e N s o N j a b i
왼쪽	w e N jj o K
왼편	w e N p y eo N
요	y o
요가	y o g a
요강	y o g a NG
요건	y o g eo N
요구	y o g u
요구르트	y o g u r eu t eu
요구사항	y o g u s a h a NG
요금	y o g eu M
요금제	y o g eu M j e
요나단	y o n a d a N
요동칠	y o d o NG ch i L
요라고	y o r a g o
요란	y o r a N
요르단	y o r eu d a N
요르단강	y o r eu d a N g a NG
요리	y o r i
요리사	y o r i s a
요번	y o b eo N
요법	y o b eo P
요상한	y o s a NG h a N
요새	y o s e
요셉	y o s e P
요소	y o s o
요약	y o y a K
요양	y o y a NG
요원	y o w eo N
요인	y o i N
요일	y o i L
요전	y o j eo N
요점	y o j eo M
요정	y o j eo NG
요즈음	y o j eu eu M
요즘	y o j eu M
요지	y o j i
요지부동	y o j i b u d o NG
요직	y o j i K
요청	y o ch eo NG
요청서	y o ch eo NG s eo
요체	y o ch e
요충	y o ch u NG
요충지	y o ch u NG j i
요컨대	y o k eo N d e
요코야마	y o k o y a m a
요코하마	y o k o h a m a
요크	y o k eu
요하	y o h a
요한	y o h a N
욕	y o K
욕구	y o K kk u
욕망	y o NG m a NG
욕설	y o K ss eo L
욕실	y o K ss i L
욕심	y o K ss i M
욜	y o L
욤	y o M
용	y o NG
용감	y o NG g a M
용객	y o NG g e K
용기	y o NG g i
용납	y o NG n a P
용달	y o NG tt a L
용도	y o NG d o
용돈	y o NG d o N
용량	y o NG n y a NG
용맹	y o NG m e NG
용모	y o NG m o
용목	y o NG m o K
용변	y o NG b y eo N
용산	y o NG s a N
용산구	y o NG s a N g u
용서	y o NG s eo
용선료	y o NG s eo L r y o
용시	y o NG s i
용암	y o NG a M
용어	y o NG eo
용역	y o NG n y eo K
용연	y o NG n y eo N
용의자	y o NG eu i j a
용이	y o NG i
용인	y o NG i N
용자	y o NG j a
용적	y o NG j eo K
용지	y o NG j i
용품	y o NG p u M
우	u
우간다	u g a N d a
우경화	u g y eo NG h w a
우기	u g i
우남	u n a M
우노	u n o
우대	u d e
우두머리	u d u m eo r i
우두커니	u d u k eo n i
우드	u d eu
우뚝	u tt u K
우라늄	u r a n y u M
우량	u r y a NG
우러러	u r eo r eo
우려	u r y eo
우롱	u r o NG
우루과이	u r u g w a i
우루루	u r u r u
우르스	u r eu s eu
우리	u r i
우리나라	u r i n a r a
우린	u r i N
우림	u r i M
우방	u b a NG
우벼	u b y eo
우비	u b i
우산	u s a N
우선	u s eo N
우선시	u s eo N s i
우성	u s eo NG
우세	u s e
우셨	u s y eo T
우수	u s u
우스	u s eu
우스개	u s eu g e
우스꽝	u s eu kk w a NG
우스워	u s eu w eo
우습	u s eu P
우승	u s eu NG
우승자	u s eu NG j a
우승컵	u s eu NG k eo P
우아	u a
우어	u eo
우에마쓰	u e m a ss eu
우여곡절	u y eo g o K jj eo L
우연	u y eo N
우연히	u y eo N h i
우와	u w a
우왕	u w a NG
우왕좌왕	u w a NG j w a w a NG
우울	u u L
우울증	u u L j eu NG
우울해	u u L h e
우월주의	u w eo L j u eu i
우위	u w i
우유	u y u
우유니	u y u n i
우육	u y u K
우익	u i K
우잣	u j a T
우정	u j eo NG
우주	u j u
우주비행사	u j u b i h e NG s a
우주선	u j u s eo N
우즈베키스탄	u j eu b e k i s eu t a N
우진	u j i N
우쭐대	u jj u L d e
우체국	u ch e g u K
우체부	u ch e b u
우체통	u ch e t o NG
우크라	u k eu r a
우파	u p a
우편	u p y eo N
우편물	u p y eo N m u L
우표	u p y o
우현	u h y eo N
우호	u h o
우회	u h w e
우후죽순	u h u j u K ss u N
욱	u K
운	u N
운동	u N d o NG
운동가	u N d o NG g a
운동원	u N d o NG w eo N
운동장	u N d o NG j a NG
운동화	u N d o NG h w a
운명	u N m y eo NG
운반	u N b a N
운반체	u N b a N ch e
운송	u N s o NG
운수	u N s u
운영	u N n y eo NG
운영비	u N n y eo NG b i
운용	u N n y o NG
운운	u n u N
운전	u N j eo N
운전기사	u N j eo N g i s a
운전병	u N j eo N b y eo NG
운전석	u N j eo N s eo K
운전자	u N j eo N j a
운증	u N j eu NG
운하	u N h a
운항	u N h a NG
운행	u N h e NG
울	u L
울렸	u L r y eo T
울리	u L r i
울산	u L s a N
울산시	u L s a N s i
울음	u r eu M
울진	u L j i N
울퉁불퉁	u L t u NG b u L t u NG
움	u M
움베르토	u M b e r eu t o
움직여	u M j i g y eo
움직여요	u M j i g y eo y o
움직이	u M j i g i
움직일	u M j i g i L
움직임	u M j i g i M
움찔	u M jj i L
움켜쥐	u M k y eo j w i
움켜쥔	u M k y eo j w i N
웁	u P
웃	u T
웃겨	u T kk y eo
웃기	u T kk i
웃긴	u T kk i N
웃도	u T tt o
웃돈	u T tt o N
웃돌	u T tt o L
웃음	u s eu M
웅	u NG
웅웅	u NG u NG
웅장	u NG j a NG
웅크리	u NG k eu r i
워	w eo
워낙	w eo n a K
워너	w eo n eo
워너비	w eo n eo b i
워라	w eo r a
워런	w eo r eo N
워스	w eo s eu
워싱턴	w eo s i NG t eo N
워치	w eo ch i
워치콘	w eo ch i k o N
워커힐	w eo k eo h i L
워크	w eo k eu
워크숍	w eo k eu s y o P
워크아웃	w eo k eu a u T
워홀	w eo h o L
원	w eo N
원가	w eo N g a
원고	w eo N g o
원내	w eo N n e
원내대표	w eo N n e d e p y o
원단	w eo N d a N
원당	w eo N d a NG
원대	w eo N d e
원도연	w eo N d o y eo N
원동력	w eo N d o NG n y eo K
원두	w eo N d u
원래	w eo L r e
원로	w eo L r o
원론	w eo L r o N
원료	w eo L r y o
원룸	w eo L r u M
원리	w eo L r i
원리주의	w eo L r i j u eu i
원만	w eo N m a N
원망	w eo N m a NG
원문	w eo N m u N
원봉	w eo N b o NG
원비	w eo N b i
원생	w eo N ss e NG
원서	w eo N s eo
원수	w eo N s u
원숭이	w eo N s u NG i
원시	w eo N s i
원심력	w eo N s i M n y eo K
원액	w eo n e K
원영	w eo N n y eo NG
원외	w eo n w e
원유	w eo N n y u
원인	w eo n i N
원자	w eo N j a
원자력	w eo N j a r y eo K
원자로	w eo N j a r o
원자재	w eo N j a j e
원작	w eo N j a K
원장	w eo N j a NG
원전	w eo N j eo N
원제	w eo N j e
원조	w eo N j o
원주	w eo N j u
원주민	w eo N j u m i N
원주시	w eo N j u s i
원증	w eo N j eu NG
원천	w eo N ch eo N
원초	w eo N ch o
원치	w eo N ch i
원칙	w eo N ch i K
원탑	w eo N t a P
원폭	w eo N p o K
원하	w eo N h a
원한	w eo N h a N
원한다	w eo N h a N d a
원한다면	w eo N h a N d a m y eo N
원할	w eo N h a L
원합니다	w eo N h a M n i d a
원해	w eo N h e
원해요	w eo N h e y o
원했	w eo N h e T
원화	w eo N h w a
원활	w eo N h w a L
원회	w eo N h w e
월	w eo L
월간	w eo L g a N
월간지	w eo L g a N j i
월경	w eo L g y eo NG
월급	w eo L g eu P
월남	w eo L r a M
월드	w eo L d eu
월드컵	w eo L d eu k eo P
월등히	w eo L d eu NG h i
월로	w eo L r o
월마트	w eo L m a t eu
월말	w eo L m a L
월성	w eo L s eo NG
월세	w eo L s e
월스트리트	w eo L s eu t eu r i t eu
월요일	w eo r y o i L
월초	w eo L ch o
웡	w eo NG
웨	w e
웨딩	w e d i NG
웨스트민스터	w e s eu t eu m i N s eu t eo
웨스틴	w e s eu t i N
웨스팅하우스	w e s eu t i NG h a u s eu
웨어	w e eo
웨이	w e i
웨인	w e i N
웨일스	w e i L s eu
웬	w e N
웬만	w e N m a N
웬일	w e n i L
웹	w e P
위	w i
위구르	w i g u r eu
위급	w i g eu P
위기	w i g i
위기감	w i g i g a M
위기관리	w i g i g w a L r i
위대	w i d e
위력	w i r y eo K
위로	w i r o
위로금	w i r o g eu M
위반	w i b a N
위배	w i b e
위법	w i b eo P
위비	w i b i
위상	w i s a NG
위생	w i s e NG
위서	w i s eo
위성	w i s eo NG
위세	w i s e
위스콘신	w i s eu k o N s i N
위스키	w i s eu k i
위아래	w i a r e
위안	w i a N
위안부	w i a N b u
위약금	w i y a K kk eu M
위엄	w i eo M
위염	w i y eo M
위원	w i w eo N
위원장	w i w eo N j a NG
위원회	w i w eo N h w e
위임	w i i M
위자	w i j a
위자료	w i j a r y o
위장	w i j a NG
위조	w i j o
위주	w i j u
위증죄	w i j eu NG j w e
위쪽	w i jj o K
위촉	w i ch o K
위축	w i ch u K
위층	w i ch eu NG
위치	w i ch i
위크	w i k eu
위태	w i t e
위트	w i t eu
위트스톡	w i t eu s eu t o K
위패	w i p e
위풍당당	w i p u NG d a NG d a NG
위하	w i h a
위한	w i h a N
위해	w i h e
위해서	w i h e s eo
위해선	w i h e s eo N
위험	w i h eo M
위험부담	w i h eo M b u d a M
위협	w i h y eo P
윈	w i N
윈도	w i N d o
윌리엄	w i L r i eo M
윗	w i T
윗배	w i T pp e
윗선	w i T ss eo N
윙	w i NG
윙크	w i NG k eu
유	y u
유가	y u g a
유가족	y u g a j o K
유감	y u g a M
유고	y u g o
유고슬라비아	y u g o s eu L r a b i a
유골	y u g o L
유공	y u g o NG
유교	y u g y o
유권자	y u g w eo N j a
유기	y u g i
유기물	y u g i m u L
유기준	y u g i j u N
유난히	y u n a N h i
유네스코	y u n e s eu k o
유념	y u n y eo M
유노	y u n o
유능	y u n eu NG
유니	y u n i
유니버스	y u n i b eo s eu
유닛	y u n i T
유달리	y u d a L r i
유대	y u d e
유대인	y u d e i N
유도	y u d o
유독	y u d o K
유동	y u d o NG
유래	y u r e
유럽	y u r eo P
유럽연합	y u r eo b y eo N h a P
유력	y u r y eo K
유력시	y u r y eo K ss i
유령	y u r y eo NG
유례	y u r y e
유례없	y u r y e eo P
유로	y u r o
유료	y u r y o
유리	y u r i
유리창	y u r i ch a NG
유리컵	y u r i k eo P
유린	y u r i N
유림	y u r i M
유망	y u m a NG
유망주	y u m a NG j u
유머	y u m eo
유명	y u m y eo NG
유명무실	y u m y eo NG m u s i L
유모차	y u m o ch a
유물	y u m u L
유민	y u m i N
유발	y u b a L
유방암	y u b a NG a M
유배	y u b e
유병언	y u b y eo NG eo N
유보	y u b o
유비	y u b i
유사	y u s a
유산	y u s a N
유상	y u s a NG
유서	y u s eo
유선	y u s eo N
유세	y u s e
유속	y u s o K
유수	y u s u
유승민	y u s eu NG m i N
유신	y u s i N
유실	y u s i L
유아	y u a
유약	y u y a K
유언	y u eo N
유언비어	y u eo N b i eo
유엔	y u e N
유엔군	y u e N g u N
유역	y u y eo K
유연	y u y eo N
유열	y u y eo L
유영하	y u y eo NG h a
유예	y u y e
유용	y u y o NG
유월	y u w eo L
유유히	y u y u h i
유익	y u i K
유인	y u i N
유일	y u i L
유입	y u i P
유재환	y u j e h w a N
유적	y u j eo K
유적지	y u j eo K jj i
유전	y u j eo N
유전자	y u j eo N j a
유족	y u j o K
유종헌	y u j o NG h eo N
유죄	y u j w e
유지	y u j i
유지비	y u j i b i
유진룡	y u j i L r y o NG
유착	y u ch a K
유찰	y u ch a L
유창	y u ch a NG
유책	y u ch e K
유추	y u ch u
유축	y u ch u K
유출	y u ch u L
유치	y u ch i
유치원	y u ch i w eo N
유치원생	y u ch i w eo N ss e NG
유쾌	y u k w e
유탄	y u t a N
유태인	y u t e i N
유통	y u t o NG
유통망	y u t o NG m a NG
유통점	y u t o NG j eo M
유투	y u t u
유튜브	y u t y u b eu
유틸리티	y u t i L r i t i
유포	y u p o
유학	y u h a K
유학생	y u h a K ss e NG
유한	y u h a N
유해	y u h e
유행	y u h e NG
유혈	y u h y eo L
유형	y u h y eo NG
유혹	y u h o K
유화	y u h w a
유효	y u h y o
유훈	y u h u N
유흥업소	y u h eu NG eo P ss o
육	y u K
육공	y u K kk o NG
육군	y u K kk u N
육대주	y u K tt e j u
육만	y u NG m a N
육상	y u K ss a NG
육성	y u K ss eo NG
육수	y u K ss u
육아	y u g a
육이오	y u g i o
육중	y u K jj u NG
육지	y u K jj i
육질	y u K jj i L
육체	y u K ch e
윤	y u N
윤곽	y u N g w a K
윤기	y u N g i
윤리	y u L r i
윤여준	y u N n y eo j u N
윤영대	y u N n y eo NG d e
윤유선	y u N n y u s eo N
윤제문	y u N j e m u N
윤종규	y u N j o NG g y u
윤택	y u N t e K
윤한수	y u N h a N s u
율	y u L
율곡	y u L g o K
융	y u NG
융성	y u NG s eo NG
융자	y u NG j a
융통	y u NG t o NG
융합	y u NG h a P
으	eu
으깨	eu kk e
으나	eu n a
으냐	eu n y a
